Ausländische Direktinvestitionen im Inland seit 2006;;;;
Jahr (1);Insgesamt (Marktwert);Direktinvestitionen;;
;;Eigenkapital;sonstiges Kapital (2);
;;;Forderungen (-);Verbindlichkeiten (+)
;Mio, EUR;;;
Wien;;;;
2006;57160,92;50063;1456;8554
2007;75265,6;53508;2128;23886
2008;70095,86;49533;1725;22288
2009;82965,03;59324;2880;26521
2010;84549,25;61457;5113;28205
2011;75307;69024;9242;15525
2012;76992;69311;8497;16178
2013;81437;72272;6483;15648
2014;94294;83928,798814;8055,339273;18421
2015;95390;88431;8429;15387
2016;94479;87753;9777;16503
2017;106980,68;101827,28;10066,19;15219,6
2018;107615;104230;12585;15971
2019;107116;104789;14069;16397
2020;104370,83;103897,6;15273,67;15746,9
Österreich;;;;
2006;84337,29;75827;3410;11920
2007;110356,07;85041;4874;30190
2008;106189,55;80814;3257;28633
2009;119787,9;90769,52;4447,12;33465,5
2010;118615,46;94460,28;14907,21;39062,38
2011;118119,14;109745,2;19155,88;27529,83
2012;124600,26;114992,74;18568,52;28176,04
2013;130216,41;118261,86;18618,35;30572,89
2014;144844,45;130789,5;19981,08;34036,03
2015;147329,07;137077,47;19782,16;30033,76
2016;145118,96;140063,88;25957,74;31012,81
2017;163652,24;155619,02;25297,81;33331,03
2018;162231,58;156835,23;28007,78;33404,14
2019;172185,95;165921,59;26183,8;32448,17
2020;167657;164345,37;28887,32;32198,95
Quelle: Oesterreichische Nationalbank,;;;;
"(1) 2018 Österreich: Fortschreibung, 
(2) Sonstiges Kapital umfasst alle Formen konzerninterner Fizierung (z, B, konzerninterne Kredite),";;;;
;;;;
